,Feature,Ranking
93,"('cases_2_day_before', 'Selangor')",2
47,"('daily_vacc', 'Sarawak')",3
138,"('cases_4_day_before', 'Selangor')",4
31,"('cases_new', 'Sarawak')",5
16,cluster_workplace,6
3,cases_cluster,7
77,"('cases_1_week_before', 'Sarawak')",8
55,"('cases_1_day_before', 'Kelantan')",8
86,"('cases_2_day_before', 'Melaka')",10
63,"('cases_1_day_before', 'Selangor')",11
168,"('cases_6_day_before', 'Selangor')",12
102,"('cases_2_week_before', 'Negeri Sembilan')",13
128,"('cases_4_day_before', 'Johor')",15
110,"('cases_2_week_before', 'W.P. Kuala Lumpur')",15
104,"('cases_2_week_before', 'Perak')",15
125,"('cases_3_day_before', 'W.P. Kuala Lumpur')",17
59,"('cases_1_day_before', 'Perak')",18
146,"('cases_5_day_before', 'Melaka')",20
167,"('cases_6_day_before', 'Sarawak')",20
121,"('cases_3_day_before', 'Sabah')",20
74,"('cases_1_week_before', 'Perak')",22
145,"('cases_5_day_before', 'Kelantan')",23
109,"('cases_2_week_before', 'Terengganu')",24
147,"('cases_5_day_before', 'Negeri Sembilan')",24
114,"('cases_3_day_before', 'Kedah')",26
23,"('cases_new', 'Kelantan')",27
140,"('cases_4_day_before', 'W.P. Kuala Lumpur')",28
61,"('cases_1_day_before', 'Sabah')",29
78,"('cases_1_week_before', 'Selangor')",30
33,"('cases_new', 'Terengganu')",31
153,"('cases_5_day_before', 'Selangor')",32
2,cases_active,33
12,cluster_community,34
65,"('cases_1_day_before', 'W.P. Kuala Lumpur')",35
8,cases_adult,35
170,"('cases_6_day_before', 'W.P. Kuala Lumpur')",37
53,"('cases_1_day_before', 'Johor')",38
6,cases_child,39
70,"('cases_1_week_before', 'Kelantan')",40
123,"('cases_3_day_before', 'Selangor')",41
119,"('cases_3_day_before', 'Perak')",41
30,"('cases_new', 'Sabah')",43
87,"('cases_2_day_before', 'Negeri Sembilan')",44
92,"('cases_2_day_before', 'Sarawak')",44
32,"('cases_new', 'Selangor')",46
111,"('cases_2_week_before', 'W.P. Labuan')",47
89,"('cases_2_day_before', 'Perak')",48
48,"('daily_vacc', 'Selangor')",49
95,"('cases_2_day_before', 'W.P. Kuala Lumpur')",50
18,pcr,50
166,"('cases_6_day_before', 'Sabah')",52
21,"('cases_new', 'Johor')",54
27,"('cases_new', 'Perak')",54
17,rtk-ag,54
101,"('cases_2_week_before', 'Melaka')",56
137,"('cases_4_day_before', 'Sarawak')",56
155,"('cases_5_day_before', 'W.P. Kuala Lumpur')",58
149,"('cases_5_day_before', 'Perak')",59
34,"('cases_new', 'W.P. Kuala Lumpur')",60
107,"('cases_2_week_before', 'Sarawak')",61
94,"('cases_2_day_before', 'Terengganu')",61
64,"('cases_1_day_before', 'Terengganu')",63
124,"('cases_3_day_before', 'Terengganu')",64
117,"('cases_3_day_before', 'Negeri Sembilan')",65
22,"('cases_new', 'Kedah')",66
1,cases_recovered,67
115,"('cases_3_day_before', 'Kelantan')",68
9,cases_elderly,69
158,"('cases_6_day_before', 'Johor')",70
106,"('cases_2_week_before', 'Sabah')",71
132,"('cases_4_day_before', 'Negeri Sembilan')",71
187,"('vacc_1_week_before', 'W.P. Putrajaya')",73
116,"('cases_3_day_before', 'Melaka')",74
42,"('daily_vacc', 'Pahang')",74
164,"('cases_6_day_before', 'Perak')",76
152,"('cases_5_day_before', 'Sarawak')",76
113,"('cases_3_day_before', 'Johor')",78
154,"('cases_5_day_before', 'Terengganu')",78
129,"('cases_4_day_before', 'Kedah')",80
161,"('cases_6_day_before', 'Melaka')",80
99,"('cases_2_week_before', 'Kedah')",82
54,"('cases_1_day_before', 'Kedah')",83
81,"('cases_1_week_before', 'W.P. Labuan')",84
88,"('cases_2_day_before', 'Pahang')",85
79,"('cases_1_week_before', 'Terengganu')",85
162,"('cases_6_day_before', 'Negeri Sembilan')",87
131,"('cases_4_day_before', 'Melaka')",89
100,"('cases_2_week_before', 'Kelantan')",89
134,"('cases_4_day_before', 'Perak')",89
98,"('cases_2_week_before', 'Johor')",92
26,"('cases_new', 'Pahang')",92
73,"('cases_1_week_before', 'Pahang')",92
83,"('cases_2_day_before', 'Johor')",92
151,"('cases_5_day_before', 'Sabah')",95
122,"('cases_3_day_before', 'Sarawak')",96
108,"('cases_2_week_before', 'Selangor')",97
133,"('cases_4_day_before', 'Pahang')",97
71,"('cases_1_week_before', 'Melaka')",99
103,"('cases_2_week_before', 'Pahang')",100
