,Feature,Ranking
179,"('admitted_1_week_before', 'Terengganu')",1
185,"('admitted_2_day_before', 'Kelantan')",1
308,"('vacc_2_week_before', 'Negeri Sembilan')",1
188,"('admitted_2_day_before', 'Pahang')",1
189,"('admitted_2_day_before', 'Perak')",1
307,"('vacc_2_week_before', 'Melaka')",1
192,"('admitted_2_day_before', 'Sarawak')",1
193,"('admitted_2_day_before', 'Selangor')",1
198,"('admitted_2_week_before', 'Johor')",1
199,"('admitted_2_week_before', 'Kedah')",1
200,"('admitted_2_week_before', 'Kelantan')",1
201,"('admitted_2_week_before', 'Melaka')",1
184,"('admitted_2_day_before', 'Kedah')",1
202,"('admitted_2_week_before', 'Negeri Sembilan')",1
205,"('admitted_2_week_before', 'Perlis')",1
206,"('admitted_2_week_before', 'Sabah')",1
208,"('admitted_2_week_before', 'Selangor')",1
209,"('admitted_2_week_before', 'Terengganu')",1
210,"('admitted_2_week_before', 'W.P. Kuala Lumpur')",1
212,"('admitted_2_week_before', 'W.P. Putrajaya')",1
213,"('admitted_3_day_before', 'Johor')",1
214,"('admitted_3_day_before', 'Kedah')",1
215,"('admitted_3_day_before', 'Kelantan')",1
217,"('admitted_3_day_before', 'Negeri Sembilan')",1
218,"('admitted_3_day_before', 'Pahang')",1
305,"('vacc_2_week_before', 'Kedah')",1
183,"('admitted_2_day_before', 'Johor')",1
182,"('admitted_1_week_before', 'W.P. Putrajaya')",1
312,"('vacc_2_week_before', 'Sabah')",1
319,"('vacc_3_week_before', 'Johor')",1
142,"('admitted_total', 'Perak')",1
145,"('admitted_total', 'Sabah')",1
146,"('admitted_total', 'Sarawak')",1
151,"('admitted_total', 'W.P. Putrajaya')",1
296,"('vacc_1_week_before', 'Perlis')",1
153,"('admitted_1_day_before', 'Johor')",1
154,"('admitted_1_day_before', 'Kedah')",1
155,"('admitted_1_day_before', 'Kelantan')",1
156,"('admitted_1_day_before', 'Melaka')",1
157,"('admitted_1_day_before', 'Negeri Sembilan')",1
158,"('admitted_1_day_before', 'Pahang')",1
159,"('admitted_1_day_before', 'Perak')",1
161,"('admitted_1_day_before', 'Sabah')",1
162,"('admitted_1_day_before', 'Sarawak')",1
164,"('admitted_1_day_before', 'Terengganu')",1
165,"('admitted_1_day_before', 'W.P. Kuala Lumpur')",1
168,"('admitted_1_week_before', 'Johor')",1
169,"('admitted_1_week_before', 'Kedah')",1
170,"('admitted_1_week_before', 'Kelantan')",1
171,"('admitted_1_week_before', 'Melaka')",1
172,"('admitted_1_week_before', 'Negeri Sembilan')",1
317,"('vacc_2_week_before', 'W.P. Labuan')",1
316,"('vacc_2_week_before', 'W.P. Kuala Lumpur')",1
313,"('vacc_2_week_before', 'Sarawak')",1
219,"('admitted_3_day_before', 'Perak')",1
221,"('admitted_3_day_before', 'Sabah')",1
304,"('vacc_2_week_before', 'Johor')",1
223,"('admitted_3_day_before', 'Selangor')",1
261,"('admitted_6_day_before', 'Melaka')",1
262,"('admitted_6_day_before', 'Negeri Sembilan')",1
264,"('admitted_6_day_before', 'Perak')",1
265,"('admitted_6_day_before', 'Perlis')",1
266,"('admitted_6_day_before', 'Sabah')",1
267,"('admitted_6_day_before', 'Sarawak')",1
268,"('admitted_6_day_before', 'Selangor')",1
269,"('admitted_6_day_before', 'Terengganu')",1
270,"('admitted_6_day_before', 'W.P. Kuala Lumpur')",1
302,"('vacc_1_week_before', 'W.P. Labuan')",1
301,"('vacc_1_week_before', 'W.P. Kuala Lumpur')",1
274,"('cases_new', 'Kedah')",1
275,"('cases_new', 'Kelantan')",1
299,"('vacc_1_week_before', 'Selangor')",1
277,"('cases_new', 'Negeri Sembilan')",1
279,"('cases_new', 'Perak')",1
283,"('cases_new', 'Sarawak')",1
